cc_num,trans_num,amt,merchant,transaction_date,merch_lat,merch_long,is_fraud
3517182278248964,2de6ae16cd114c4d4a7f31f4716b9a07,327.63,fraud_Erdman-Schaden,2022-09-16 18:35:45,34.670239,-84.634454,0
3517182278248964,f23206e1e6ba48d091ea602dd6c1a5cd,3.55,"fraud_Roberts, Daniel and Macejkovic",2022-07-28 23:31:46,35.609113,-84.40738,0
3517182278248964,d4700176f0247ef4aeb36136af5b9eb8,42.47,"fraud_Medhurst, Cartwright and Ebert",2022-09-20 22:00:58,35.940848,-84.938523,0
3517182278248964,9f0988387f23c3d61ee74d050d120a10,10.21,fraud_Baumbach Ltd,2022-09-28 17:22:23,35.885774,-85.722864,0
3517182278248964,58609d8e1766f203ae4936d5e1b06f54,62.99,fraud_Wilkinson LLC,2022-10-01 17:49:11,34.742874,-85.050255,0
3517182278248964,b361f6847617f185133abf7837b77187,7.58,"fraud_Nienow, Barrows and Romaguera",2022-08-25 13:01:13,34.332284,-84.456027,0
3517182278248964,66e77464ab3985ce1185f74a7d53937e,3.57,fraud_Dickinson Ltd,2022-09-30 19:34:05,35.661063,-85.064031,0
3517182278248964,4456fe6e68ec3b81a02a0a0e21109ce3,1.18,fraud_Schoen-Quigley,2022-08-10 21:10:17,34.822045,-85.170966,0
3517182278248964,0b15b82f847311b421e4a5ede152dfb2,106.18,"fraud_Dare, Casper and Bartoletti",2022-08-05 16:24:28,35.614923,-85.506283,0
3517182278248964,ad313cac3cb8d27a1b6b038839e819f7,3.69,fraud_Bernier and Sons,2022-07-29 19:10:51,35.433767,-84.87581,0
3517182278248964,9b4f5d07c53dbf28fbc27bc2f16e0e53,5.61,"fraud_Ritchie, Oberbrunner and Cremin",2022-10-28 23:00:06,35.568344,-84.878904,0
3517182278248964,1b806cf0aac073046bb38709df2cf7e0,6.26,fraud_Kozey-Kuhlman,2022-10-02 18:48:59,34.804947,-85.871815,0
3517182278248964,9a77d5093291cdb12dda9468ef25611f,6.38,"fraud_Berge, Kautzer and Harris",2022-09-08 14:23:40,35.180484,-84.603529,0
3517182278248964,ed13f718cc7ef6e4cf95840957e883d8,49.14,fraud_Yost-Rogahn,2022-09-27 17:26:07,35.360458,-84.279816,0
3517182278248964,c5bd3f00f6e195fcdd0ed9da89d94e30,14.3,fraud_Bednar PLC,2022-07-03 12:49:03,34.526296,-85.111349,0
3517182278248964,fa36354468961dcc9f9d0cde1440bf7c,51.11,fraud_Berge-Hills,2022-07-30 13:20:00,35.206805,-85.753419,0
3517182278248964,e42cbac2a74560167d7fe15491c22043,17.73,fraud_Parker-Kunde,2022-09-17 14:14:13,34.140891,-84.602548,0
